文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
SettingsScreen,10,页面标题,设置,settingsPageTitle
SettingsScreen,71,系统设置标题,系统设置,systemSettingsTitle
SettingsScreen,185,设置选项描述格式,管理您的${selectedItem.title}选项,manageSettingsOptionFormat
AccountSettingsScreen,25,会员计划分组标题,会员计划,membershipPlanSectionTitle
AccountSettingsScreen,70,登录方式分组标题,登录方式,loginMethodSectionTitle
AccountSettingsScreen,107,登录方式显示格式,登录方式: ${controller.loginMethod},loginMethodDisplayFormat
AccountSettingsScreen,113,会员类型显示格式,会员类型: ${controller.membershipDisplayName},membershipTypeDisplayFormat
AccountSettingsScreen,129,编辑信息按钮文本,编辑信息,editInfoButton
AccountSettingsScreen,138,退出登录按钮文本,退出登录,logoutButton
AccountSettingsScreen,163,未登录状态标题,未登录,notLoggedInTitle
AccountSettingsScreen,167,未登录状态描述,登录账户以解锁更多功能和云同步服务。,notLoggedInDescription
AccountSettingsScreen,179,本地账户登录按钮,本地账户,localAccountLogin
AccountSettingsScreen,185,微信登录按钮,微信,wechatLogin
AccountSettingsScreen,191,QQ登录按钮,QQ,qqLogin
AccountSettingsScreen,197,微博登录按钮,微博,weiboLogin
AccountSettingsScreen,203,Google登录按钮,Google,googleLogin
AccountSettingsScreen,209,Facebook登录按钮,Facebook,facebookLogin
AccountSettingsScreen,215,Twitter登录按钮,Twitter,twitterLogin
AccountSettingsScreen,221,Apple登录按钮,Apple,appleLogin
AccountSettingsScreen,296,尊贵会员显示格式,您已是尊贵的${controller.membershipDisplayName}用户,premiumMemberDisplayFormat
UISettingsScreen,17,外观分组标题,外观,appearanceSectionTitle
UISettingsScreen,27,主题模式标签,主题模式,themeModeLabel
UISettingsScreen,38,选择主题标签,选择主题,selectThemeLabel
UISettingsScreen,49,语言标签,语言,languageLabel
UISettingsScreen,62,交易颜色分组标题,交易颜色,tradingColorSectionTitle
UISettingsScreen,72,盈利颜色标签,盈利颜色,profitColorLabel
UISettingsScreen,75,盈利颜色选择标题,盈利颜色,profitColorPickerTitle
UISettingsScreen,84,亏损颜色标签,亏损颜色,lossColorLabel
UISettingsScreen,87,亏损颜色选择标题,亏损颜色,lossColorPickerTitle
UISettingsScreen,96,兑换颜色标签,兑换颜色,exchangeColorLabel
