文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobileBasePage,97,交易底部导航标签,交易,tradingBottomNavLabel
MobileBasePage,102,持仓底部导航标签,持仓,positionBottomNavLabel
MobileBasePage,107,统计底部导航标签,统计,statisticsBottomNavLabel
MobileBasePage,112,入出金底部导航标签,入出金,depositWithdrawBottomNavLabel
MobileBasePage,117,历史底部导航标签,历史,historyBottomNavLabel
MobilePortfolioSelector,51,无投资组合提示,无投资组合,noPortfolioMessage
MobileAppHeader,110,设置按钮工具提示,设置,settingsTooltip
MobileCreatePortfolioBottomSheet,53,加载费率模式失败日志,加载费率模式失败: $e,loadFeeModelFailedLogFormat
MobileCreatePortfolioBottomSheet,101,投资组合创建成功提示,投资组合创建成功,portfolioCreatedSuccessMessage
MobileCreatePortfolioBottomSheet,104,创建投资组合失败日志,创建投资组合失败: $e,createPortfolioFailedLogFormat
MobileCreatePortfolioBottomSheet,105,创建投资组合失败提示,创建投资组合失败,createPortfolioFailedMessage
MobileCreatePortfolioBottomSheet,146,创建投资组合对话框标题,创建投资组合,createPortfolioDialogTitle
MobileCreatePortfolioBottomSheet,171,投资组合名称分组标题,投资组合名称,portfolioNameSectionTitle
MobileCreatePortfolioBottomSheet,175,请输入投资组合名称提示,请输入投资组合名称,pleaseEnterPortfolioNameHint
MobileCreatePortfolioBottomSheet,180,请输入投资组合名称验证错误,请输入投资组合名称,pleaseEnterPortfolioNameValidationError
MobileCreatePortfolioBottomSheet,188,币种分组标题,币种,currencySectionTitle
MobileCreatePortfolioBottomSheet,219,投资组合类型分组标题,投资组合类型,portfolioTypeSectionTitle
MobileCreatePortfolioBottomSheet,240,交易方向分组标题,交易方向,tradingDirectionSectionTitle
MobileCreatePortfolioBottomSheet,261,费率模式分组标题,费率模式（可选）,feeModeSectionTitle
MobileCreatePortfolioBottomSheet,270,无费率模式选项,无费率模式,noFeeModeOption
MobileCreatePortfolioBottomSheet,315,创建投资组合按钮文本,创建投资组合,createPortfolioButton
MobileEditPortfolioBottomSheet,73,加载费率模式失败日志,加载费率模式失败: $e,loadFeeModelFailedLogFormat
MobileEditPortfolioBottomSheet,99,更新失败异常,更新失败，未修改任何记录,updateFailedNoRecordsModifiedException
MobileEditPortfolioBottomSheet,112,投资组合更新成功提示,投资组合更新成功,portfolioUpdatedSuccessMessage
MobileEditPortfolioBottomSheet,115,更新投资组合失败日志,更新投资组合失败: $e,updatePortfolioFailedLogFormat
MobileEditPortfolioBottomSheet,116,更新投资组合失败提示,更新投资组合失败,updatePortfolioFailedMessage
MobileEditPortfolioBottomSheet,157,编辑投资组合对话框标题,编辑投资组合,editPortfolioDialogTitle
MobileEditPortfolioBottomSheet,182,投资组合名称分组标题,投资组合名称,portfolioNameSectionTitle
MobileEditPortfolioBottomSheet,186,请输入投资组合名称提示,请输入投资组合名称,pleaseEnterPortfolioNameHint
MobileEditPortfolioBottomSheet,191,请输入投资组合名称验证错误,请输入投资组合名称,pleaseEnterPortfolioNameValidationError
MobileEditPortfolioBottomSheet,199,币种分组标题,币种,currencySectionTitle
MobileEditPortfolioBottomSheet,230,投资组合类型分组标题,投资组合类型,portfolioTypeSectionTitle
MobileEditPortfolioBottomSheet,251,交易方向分组标题,交易方向,tradingDirectionSectionTitle
MobileEditPortfolioBottomSheet,272,费率模式分组标题,费率模式（可选）,feeModeSectionTitle
MobileEditPortfolioBottomSheet,281,无费率模式选项,无费率模式,noFeeModeOption
MobileEditPortfolioBottomSheet,297,投资组合状态分组标题,投资组合状态,portfolioStatusSectionTitle
MobileEditPortfolioBottomSheet,317,已关闭状态文本,已关闭,closedStatusText
MobileEditPortfolioBottomSheet,317,活跃状态文本,活跃,activeStatusText
MobileEditPortfolioBottomSheet,327,创建时间显示格式,创建时间: ${widget.portfolio.createTime.toString().substring(0, 19)},creationTimeDisplayFormat
MobileEditPortfolioBottomSheet,368,保存更改按钮文本,保存更改,saveChangesButton
