文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
OnboardingScreen,108,页面配置警告日志,警告: Mobile Onboarding page $index 没有找到匹配的 pageType 或配置不完整，将显示默认内容。 Config: $config,mobileOnboardingPageConfigWarningLogFormat
OnboardingScreen,109,未知页面类型错误提示,未知页面类型或配置错误,unknownPageTypeOrConfigErrorMessage
OnboardingScreen,139,无标题默认文本,无标题,noTitleDefaultText
OnboardingScreen,245,下一步按钮文本,下一步,nextStepButton
MobileOnboardingController,59,用户许可协议页面标题,用户许可协议,eulaPageTitle
MobileOnboardingController,67,欢迎页面标题,欢迎使用 TradeFlex,welcomePageTitle
MobileOnboardingController,68,欢迎页面描述,开始记录和分析您的交易。,welcomePageDescription
MobileOnboardingController,74,跟踪交易页面标题,跟踪您的交易,trackTradesPageTitle
MobileOnboardingController,75,跟踪交易页面描述,轻松记录每一笔交易详情。,trackTradesPageDescription
MobileOnboardingController,81,分析表现页面标题,分析交易表现,analyzePerformancePageTitle
MobileOnboardingController,82,分析表现页面描述,深入了解您的交易策略。,analyzePerformancePageDescription
MobileOnboardingController,88,创建投资组合页面标题,创建投资组合,createPortfolioPageTitle
MobileOnboardingController,89,创建投资组合页面描述,设置您的第一个投资组合。,createPortfolioPageDescription
MobileOnboardingController,95,确认投资组合页面标题,确认您的投资组合,confirmPortfolioPageTitle
MobileOnboardingController,96,确认投资组合页面描述,检查所有设置。,confirmPortfolioPageDescription
MobileOnboardingController,131,加载费率模式失败日志,加载费率模式失败,loadFeeModesFailedLog
MobileOnboardingController,154,加载选中费率模式失败日志,加载选中费率模式失败 (ID: $id),loadSelectedFeeModeFailedLogFormat
MobileOnboardingController,184,请输入投资组合名称验证错误,请输入投资组合名称,pleaseEnterPortfolioNameValidationError
MobileOnboardingController,215,请输入投资组合名称页面切换验证,请输入投资组合名称,pleaseEnterPortfolioNamePageChangeValidation
MobileOnboardingController,234,请输入投资组合名称完成验证,请输入投资组合名称,pleaseEnterPortfolioNameCompletionValidation
MobileOnboardingController,267,创建投资组合错误日志,创建投资组合错误,createPortfolioErrorLog
MobileOnboardingController,280,请先设置投资组合名称提示,请先设置投资组合名称,pleaseSetPortfolioNameFirstHint
MobileOnboardingController,290,请输入投资组合名称创建验证,请输入投资组合名称,pleaseEnterPortfolioNameCreateValidation
MobileOnboardingController,301,加载费率模式失败创建日志,加载费率模式失败,loadFeeModesFailedCreateLog
MobileOnboardingController,325,创建投资组合错误创建日志,创建投资组合错误,createPortfolioErrorCreateLog
MobilePortfolioCreationPage,44,创建投资组合页面标题,创建投资组合,createPortfolioPageTitle
MobilePortfolioCreationPage,52,设置第一个投资组合描述,设置您的第一个投资组合,setupFirstPortfolioDescription
MobilePortfolioCreationPage,66,投资组合名称必填标签,投资组合名称 *,portfolioNameRequiredLabel
MobilePortfolioCreationPage,76,投资组合名称提示,例如：我的股票投资,portfolioNameHintExample
MobilePortfolioCreationPage,88,币种标签,币种,currencyLabel
MobilePortfolioCreationPage,127,投资类型标签,投资类型,investmentTypeLabel
MobilePortfolioCreationPage,158,交易方向标签,交易方向,tradingDirectionLabel
MobilePortfolioCreationPage,263,下一步按钮文本,下一步,nextStepButton
MobilePortfolioConfirmationPage,42,确认投资组合页面标题,确认投资组合,confirmPortfolioPageTitle
MobilePortfolioConfirmationPage,50,请确认投资组合设置描述,请确认您的投资组合设置,pleaseConfirmPortfolioSettingsDescription
MobilePortfolioConfirmationPage,83,投资组合信息分组标题,投资组合信息,portfolioInformationSectionTitle
MobilePortfolioConfirmationPage,93,名称信息行,名称,nameInfoRow
MobilePortfolioConfirmationPage,93,未设置默认值,未设置,notSetDefaultValue
