文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobileHistoryScreen,17,页面标题,历史,historyPageTitle
MobileHistoryScreen,42,无投资组合提示标题,暂无投资组合,noPortfolioTitle
MobileHistoryScreen,51,无投资组合提示描述,请先创建一个投资组合查看历史记录,pleaseCreatePortfolioForHistoryMessage
MobileHistoryScreen,147,无历史记录标题,暂无历史记录,noHistoryRecordsTitle
MobileHistoryScreen,156,无历史记录描述,当前筛选条件下没有已关闭的持仓记录,noClosedPositionsUnderFilterMessage
MobileHistoryFilter,61,筛选条件标题,筛选条件,filterConditionsTitle
MobileHistoryFilter,79,无数据消息,暂无可筛选的平仓数据。,noFilterableClosedDataMessage
MobileHistoryFilter,103,开始日期标签,开始日期,startDateLabel
MobileHistoryFilter,119,结束日期标签,结束日期,endDateLabel
MobileHistoryFilter,140,选择持仓标签,选择持仓,selectPositionLabel
MobileHistoryFilter,152,全部持仓选项,全部持仓,allPositionsOption
MobileHistoryFilter,157,持仓方向显示格式,${position.positionSymbol} - ${position.positionDirection == PositionDirection.long ? '多头' : '空头'},positionDirectionDisplayFormat
MobileHistoryFilter,174,持仓方向标签,持仓方向,positionDirectionLabel
MobileHistoryFilter,186,全部方向选项,全部,allDirectionsOption
MobileHistoryFilter,190,多头选项,多头,longPositionOption
MobileHistoryFilter,194,空头选项,空头,shortPositionOption
MobileHistoryFilter,212,清除按钮文本,清除,clearButton
MobileHistoryFilter,218,应用筛选按钮文本,应用筛选,applyFilterButton
MobileHistoryStats,58,统计概览标题,统计概览,statisticsOverviewTitle
MobileHistoryStats,108,盈亏数据加载失败错误,盈亏数据加载失败,profitLossDataLoadFailedError
MobileHistoryStats,112,暂无盈亏数据提示,暂无盈亏数据,noProfitLossDataMessage
MobileHistoryStats,134,净盈亏标签,净盈亏,netProfitLossLabel
MobileHistoryStats,157,盈利标签,盈利,profitLabel
MobileHistoryStats,162,亏损标签,亏损,lossLabel
MobileHistoryStats,189,胜率数据加载失败错误,胜率数据加载失败,winRateDataLoadFailedError
MobileHistoryStats,193,暂无胜率数据提示,暂无胜率数据,noWinRateDataMessage
MobileHistoryStats,213,胜率标签,胜率,winRateLabel
MobileHistoryStats,236,盈利交易次数格式,盈利,profitTradesLabel
MobileHistoryStats,237,盈利交易笔数格式,${data.winTrades}笔,profitTradesCountFormat
MobileHistoryStats,241,亏损交易次数格式,亏损,lossTradesLabel
MobileHistoryStats,242,亏损交易笔数格式,${data.lossTrades}笔,lossTradesCountFormat
MobileHistoryRecords,64,历史记录标题,历史记录,historyRecordsTitle
MobileHistoryRecords,73,记录数量格式,${controller.closedSubPositions.length}条记录,recordsCountFormat
MobileHistoryRecords,115,未知持仓符号,未知,unknownPositionSymbol
MobileHistoryRecords,179,相关交易记录标题,相关交易记录,relatedTradeRecordsTitle
MobileHistoryRecords,199,交易记录笔数格式,${controller.relatedTransactions.length}笔,tradeRecordsCountFormat
MobileHistoryRecords,227,暂无相关交易记录提示,暂无相关交易记录,noRelatedTradeRecordsMessage
MobileHistoryRecords,459,数量标签,数量,quantityLabel
MobileHistoryRecords,467,成交价标签,成交价,transactionPriceLabel
MobileHistoryRecords,475,均价标签,均价,averagePriceLabel
MobileHistoryRecords,483,摊薄标签,摊薄,dilutedLabel
MobileHistoryRecords,588,新建仓状态,新建仓,newPositionStatus
MobileHistoryRecords,590,提高均价状态,提高均价,raiseAvgPriceStatus
MobileHistoryRecords,592,降低均价状态,降低均价,lowerAvgPriceStatus
MobileHistoryRecords,594,止盈状态,止盈,takeProfitStatus
MobileHistoryRecords,596,止损状态,止损,stopLossStatus
MobileHistoryRecords,598,成本价状态,成本价,costPriceStatus
MobileHistoryRecords,600,换出状态,换出,swapFromStatus
MobileHistoryRecords,602,换入状态,换入,swapToStatus
