文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
WithdrawDepositScreen,15,页面标题,资金操作,fundOperationPageTitle
DepositWithdrawForm,37,资金操作表单标题,资金操作,fundOperationFormTitle
DepositWithdrawForm,84,入金按钮文本,入金,depositButton
DepositWithdrawForm,103,出金按钮文本,出金,withdrawButton
DepositWithdrawForm,130,入金金额标签,入金金额,depositAmountLabel
DepositWithdrawForm,130,出金金额标签,出金金额,withdrawAmountLabel
DepositWithdrawForm,150,请输入金额验证错误,请输入金额,pleaseEnterAmountValidationError
DepositWithdrawForm,153,请输入有效数字验证错误,请输入有效数字,pleaseEnterValidNumberValidationError
DepositWithdrawForm,156,金额必须大于0验证错误,金额必须大于0,amountMustBeGreaterThanZeroValidationError
DepositWithdrawForm,169,入出金日期标签,入出金日期,depositWithdrawDateLabel
DepositWithdrawForm,183,备注标签,备注,remarksLabel
DepositWithdrawForm,184,备注提示,可选：添加备注说明此次操作,remarksHint
DepositWithdrawForm,200,提交按钮文本,提交,submitButton
SummaryWidget,67,请选择统计货币提示,请选择统计货币,pleaseSelectStatisticsCurrencyMessage
SummaryWidget,100,所有投资组合标题,所有投资组合,allPortfoliosTitle
SummaryWidget,110,统计货币显示格式,统计货币: ${PortfolioUtils.getCurrencyLabel(statCurrency)},statisticsCurrencyDisplayFormat
SummaryWidget,124,合计总净入金标签,合计总净入金,totalNetDepositLabel
SummaryWidget,150,加载投资组合信息提示,加载投资组合信息...,loadingPortfolioInfoMessage
SummaryWidget,182,币种显示格式,币种: ${PortfolioUtils.getCurrencyLabel(selectedPortfolio.currency)},currencyDisplayFormat
SummaryWidget,196,总净入金标签,总净入金,totalNetDepositLabel
SummaryWidget,228,汇率获取失败提示,汇率获取失败,exchangeRateFailedMessage
SummaryWidget,266,统计所有组合标签,统计所有组合,statisticsAllPortfoliosLabel
SummaryWidget,283,统计货币选择标签,统计货币,statisticsCurrencySelectionLabel
SummaryWidget,337,请选择投资组合设置现金比例提示,请先选择一个投资组合以设置现金比例,pleaseSelectPortfolioForCashRatioMessage
SummaryWidget,343,请选择统计货币提示,请先选择统计货币,pleaseSelectStatisticsCurrencyMessage
SummaryWidget,378,目标现金比例标签,目标现金比例,targetCashRatioLabel
SummaryWidget,387,设置期望现金占比提示,设置期望的现金占比,setCashRatioHint
SummaryWidget,400,当前现金为负提示,当前: 0% (现金为负),currentCashNegativeText
SummaryWidget,402,当前无持仓提示,当前: 100% (无持仓),currentNoPositionText
SummaryWidget,403,当前现金比例格式,当前: ${(displayCashRatio * 100).toInt()}%,currentCashRatioFormat
SummaryWidget,448,保存按钮文本,保存,saveButton
SummaryWidget,485,现金余额异常标题,现金余额异常,cashBalanceAbnormalTitle
SummaryWidget,494,现金余额异常描述,如果现金余额为负数，请检查入出金和持仓的价值是否合理。,cashBalanceAbnormalDescription
SummaryWidget,499,负数现金余额可能原因,负数现金余额可能表示：入金记录不完整、持仓价值计算有误、出金记录异常,negativeCashBalanceReasons
SummaryWidget,532,当前总资产达到目标比例提示,当前总资产为 $statCurrencySymbol ${totalAssetsValue.toStringAsFixed(2)}， 已经达到目标现金比例,currentAssetsReachedTargetRatioMessage
SummaryWidget,533,建议资金操作格式,当前总资产为 $statCurrencySymbol ${totalAssetsValue.toStringAsFixed(2)}， ${needsWithdrawal ? '建议取出资金或增加等值的持仓' : '建议存入资金或减少等值的持仓'},suggestedFundOperationFormat
