文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
TradingScreen,17,页面标题,交易,tradingPageTitle
TradingOperatorArea,86,常规交易标签,常规交易,regularTradingTab
TradingOperatorArea,93,兑换交易标签,兑换交易,exchangeTradingTab
TradingOperatorArea,100,股息记录标签,股息记录,dividendRecordTab
PortfolioSummaryCard,40,投资组合标题格式,投资组合: ${controller.portfolioName},portfolioTitleFormat
PortfolioSummaryCard,73,总资产标签,总资产,totalAssetsLabel
PortfolioSummaryCard,109,现金余额标签,现金余额,cashBalanceLabel
PortfolioSummaryCard,140,总盈亏标签,总盈亏,totalProfitLossLabel
PortfolioCurrentPositionCard,34,当前持仓标题,当前持仓,currentPositionTitle
PortfolioCurrentPositionCard,55,持仓名称表头,持仓名称,positionNameHeader
PortfolioCurrentPositionCard,65,数量表头,数量,quantityHeader
PortfolioCurrentPositionCard,76,均价表头,均价,averagePriceHeader
PortfolioCurrentPositionCard,87,摊薄均价表头,摊薄均价,dilutedAveragePriceHeader
PortfolioCurrentPositionCard,98,盈亏表头,盈亏,profitLossHeader
PortfolioCurrentPositionCard,135,暂无持仓数据提示,暂无持仓数据,noPositionDataMessage
NoteCard,37,随手笔记标题,随手笔记,quickNoteTitle
NoteCard,100,暂无笔记提示,暂无笔记,noNotesMessage
TradingTransactionsGrid,50,交易记录标题,交易记录,tradingRecordsTitle
TradingTransactionsGrid,55,显示隐藏列工具提示,显示/隐藏列,showHideColumnsTooltip
TradingTransactionsGrid,60,保存列设置工具提示,保存列设置,saveColumnSettingsTooltip
TradingTransactionsGrid,67,添加交易记录按钮,添加交易记录,addTradingRecordButton
TradingTransactionsGrid,85,正在添加交易记录提示,正在添加交易记录...,addingTradingRecordMessage
TradingTransactionsGrid,96,交易记录添加成功提示,交易记录添加成功,tradingRecordAddedSuccessMessage
AddTradeDialog,65,添加交易记录对话框标题,添加交易记录,addTradingRecordDialogTitle
AddTradeDialog,107,取消按钮文本,取消,cancelButton
AddTradeDialog,117,添加交易记录按钮文本,添加交易记录,addTradingRecordButton
AddTradeDialog,171,常规交易标签页,常规交易,regularTradingTab
AddTradeDialog,177,兑换交易标签页,兑换交易,exchangeTradingTab
AddTradeDialog,183,股息记录标签页,股息记录,dividendRecordTab
AddTradeDialogRegular,23,基本信息分组标题,基本信息,basicInfoSectionTitle
AddTradeDialogRegular,42,数量字段标签,数量,quantityFieldLabel
AddTradeDialogRegular,44,交易数量提示,交易数量,tradingQuantityHint
AddTradeDialogRegular,112,交易日期标签,交易日期,tradingDateLabel
AddTradeDialogRegular,143,做多交易类型,做多,longTradeType
AddTradeDialogRegular,148,平多交易类型,平多,closeLongTradeType
AddTradeDialogRegular,153,做空交易类型,做空,shortTradeType
AddTradeDialogRegular,158,平空交易类型,平空,closeShortTradeType
AddTradeDialogRegular,169,交易类型标签,交易类型,tradeTypeLabel
