文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobileTradingScreen,20,交易页面标题,交易,tradingPageTitle
MobileTradingScreen,45,暂无投资组合提示,暂无投资组合,noPortfolioAvailable
MobileTradingScreen,54,请先创建投资组合提示,请先创建一个投资组合开始交易,pleaseCreatePortfolioToStartTrading
MobileTradingRecords,64,交易记录标题,交易记录,tradingRecordsTitle
MobileTradingRecords,119,加载更多提示,加载更多...,loadingMoreHint
MobileTradingRecords,129,已显示全部记录格式,已显示全部 ${controller.recentTrades.length} 条记录,showingAllRecordsFormat
MobileTradingRecords,158,添加交易按钮文本,添加交易,addTradeButton
MobileTradingRecords,192,暂无交易记录提示,暂无交易记录,noTradingRecordsMessage
MobileTradingRecords,195,添加第一笔交易提示,点击右上角 + 按钮添加您的第一笔交易,addFirstTradeHint
MobileAddTradeScreen,57,添加交易记录页面标题,添加交易记录,addTradeRecordPageTitle
MobileAddTradeScreen,103,添加交易按钮文本,添加交易,addTradeButton
MobileAddTradeScreen,134,常规交易选项卡,常规交易,regularTradingTab
MobileAddTradeScreen,135,兑换交易选项卡,兑换交易,exchangeTradingTab
MobileAddTradeScreen,136,股息记录选项卡,股息记录,dividendRecordTab
MobileTradingOperationArea,90,常规交易操作标签,常规交易,regularTradingOperationLabel
MobileTradingOperationArea,97,兑换交易操作标签,兑换交易,exchangeTradingOperationLabel
MobileTradingOperationArea,104,股息记录操作标签,股息记录,dividendRecordOperationLabel
MobileNoteCard,36,随手笔记标题,随手笔记,quickNotesTitle
MobileNoteCard,113,暂无笔记提示,暂无笔记,noNotesMessage
MobileAddTradeSentimentSection,73,极度恐惧情绪,极度恐惧,extremeFearSentiment
MobileAddTradeSentimentSection,74,恐惧情绪,恐惧,fearSentiment
MobileAddTradeSentimentSection,75,中性情绪,中性,neutralSentiment
MobileAddTradeSentimentSection,76,贪婪情绪,贪婪,greedSentiment
MobileAddTradeSentimentSection,77,极度贪婪情绪,极度贪婪,extremeGreedSentiment
MobileAddTradeSentimentSection,90,恐惧贪婪指数标签,恐惧贪婪指数,fearGreedIndexLabel
MobileAddTradeSentimentSection,96,恐惧贪婪指数提示,这是您添加这笔交易时的主观心理感受\n经过多次统计后，会显示在各种心理状态下的胜率,fearGreedIndexTooltip
MobileAddTradeAdditionalInfoSection,18,附加信息分组标题,附加信息,additionalInfoSectionTitle
MobileAddTradeAdditionalInfoSection,34,备注输入标签,备注,notesInputLabel
MobileAddTradeAdditionalInfoSection,36,备注输入提示,相关备注信息,notesInputHint
MobileAddTradeAdditionalInfoSection,92,标签输入标签,标签,tagsInputLabel
