文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobileStatisticsScreen,22,数据统计页面标题,数据统计,dataStatisticsPageTitle
MobileStatisticsScreen,46,暂无投资组合提示,暂无投资组合,noPortfolioAvailable
MobileStatisticsScreen,55,请先创建投资组合提示,请先创建一个投资组合查看统计分析,pleaseCreatePortfolioToViewStatistics
MobileAssetTrendFullscreenChart,110,资产趋势全屏视图标题,资产趋势 - 全屏视图,assetTrendFullscreenViewTitle
MobileAssetTrendFullscreenChart,232,投资组合总值图例,投资组合总值,portfolioTotalValueLegend
MobileAssetTrendFullscreenChart,233,持仓总成本图例,持仓总成本,totalPositionCostLegend
MobileAssetTrendFullscreenChart,234,持仓总市值图例,持仓总市值,totalPositionMarketValueLegend
MobileAssetTrendFullscreenChart,273,加载数据失败提示,加载数据失败,loadDataFailedMessage
MobileAssetTrendFullscreenChart,285,重试按钮文本,重试,retryButton
MobileAssetTrendFullscreenChart,301,暂无数据提示,暂无数据,noDataMessage
MobileAssetTrendFullscreenChart,306,无资产数据描述,所选时间范围内无资产数据,noAssetDataInSelectedTimeRange
MobileTradingFrequencyChart,35,交易频率图表标题格式,交易频率 (${controller.getTimeRangeTypeName()}),tradingFrequencyChartTitleFormat
MobileTradingFrequencyChart,44,交易频率图表提示,显示所选时间范围内的交易次数统计,tradingFrequencyChartTooltip
MobileTradingFrequencyChart,115,总交易统计标签,总交易,totalTradesLabel
MobileTradingFrequencyChart,121,买入交易统计标签,买入,buyTradesLabel
MobileTradingFrequencyChart,127,卖出交易统计标签,卖出,sellTradesLabel
MobileTradingFrequencyChart,195,买入交易提示格式,买入: ${barData.buyCount}笔,buyTradesHintFormat
MobileTradingFrequencyChart,197,卖出交易提示格式,卖出: ${barData.sellCount}笔,sellTradesHintFormat
MobileTradingFrequencyChart,292,买入交易图例,买入交易,buyTradesLegend
MobileTradingFrequencyChart,293,卖出交易图例,卖出交易,sellTradesLegend
MobileTradingFrequencyChart,333,加载数据失败提示,加载数据失败,loadDataFailedMessage
MobileTradingFrequencyChart,339,重试按钮文本,重试,retryButton
