文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
OnboardingScreen,93,警告日志消息,警告: Onboarding page $index 没有找到匹配的 pageType 或配置不完整，将显示默认内容。 Config: $config,onboardingPageTypeNotFoundWarning
OnboardingScreen,94,未知页面错误文本,未知页面类型或配置错误,unknownPageTypeOrConfigError
OnboardingScreen,120,默认标题文本,无标题,noTitleDefault
OnboardingScreen,177,上一步按钮文本,上一步,previousStepButton
OnboardingScreen,196,下一步按钮文本,下一步,nextStepButton
OnboardingController,60,用户许可协议标题,用户许可协议,userLicenseAgreementTitle
OnboardingController,68,欢迎页面标题,欢迎使用 TradeFlex,welcomeToTradeFlexTitle
OnboardingController,69,欢迎页面描述,开始记录和分析您的交易。,welcomePageDescription
OnboardingController,75,跟踪交易页面标题,跟踪您的交易,trackYourTradesTitle
OnboardingController,76,跟踪交易页面描述,轻松记录每一笔交易详情。,trackTradesPageDescription
OnboardingController,82,分析表现页面标题,分析交易表现,analyzePerformanceTitle
OnboardingController,83,分析表现页面描述,深入了解您的交易策略。,analyzePerformanceDescription
OnboardingController,89,创建投资组合页面标题,创建投资组合,createPortfolioTitle
OnboardingController,90,创建投资组合页面描述,设置您的第一个投资组合。,createPortfolioDescription
OnboardingController,96,确认投资组合页面标题,确认您的投资组合,confirmPortfolioTitle
OnboardingController,97,确认投资组合页面描述,检查所有设置。,confirmPortfolioDescription
OnboardingController,131,加载费率模式失败日志,加载费率模式失败,loadFeeModeFailedLog
OnboardingController,155,加载选中费率模式失败日志,加载选中费率模式失败 (ID: $id),loadSelectedFeeModeFailedLog
OnboardingController,184,请输入投资组合名称错误,请输入投资组合名称,pleaseEnterPortfolioNameError
OnboardingController,228,请输入投资组合名称错误,请输入投资组合名称,pleaseEnterPortfolioNameError
OnboardingController,247,请输入投资组合名称错误,请输入投资组合名称,pleaseEnterPortfolioNameError
OnboardingController,284,创建投资组合错误日志,创建投资组合错误,createPortfolioErrorLog
OnboardingController,302,提示标题,提示,hintTitle
OnboardingController,302,请先设置投资组合名称警告,请先设置投资组合名称,pleaseSetPortfolioNameFirstWarning
OnboardingController,312,请输入投资组合名称错误,请输入投资组合名称,pleaseEnterPortfolioNameError
OnboardingController,324,加载费率模式失败日志,加载费率模式失败,loadFeeModeFailedLog
OnboardingController,348,创建投资组合错误日志,创建投资组合错误,createPortfolioErrorLog
PortfolioCreationPage,80,必填标识文本,(必填),requiredFieldIndicator
