文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
PortfolioSelector,34,无投资组合提示文本,没有投资组合,noPortfolioMessage
PortfolioSelector,45,添加投资组合工具提示,添加新的投资组合,addNewPortfolioTooltip
PortfolioSelector,61,投资组合标签文本,投资组合,portfolioLabel
PortfolioSelector,136,添加投资组合工具提示,添加新的投资组合,addNewPortfolioTooltip
PortfolioSelector,165,多头方向标签,多,longDirectionTag
PortfolioSelector,165,空头方向标签,空,shortDirectionTag
PortfolioSelector,165,多空方向标签,多/空,longShortDirectionTag
DesktopSidebar,173,选择投资组合工具提示,选择投资组合,selectPortfolioTooltip
DesktopSidebar,244,收起侧边栏工具提示,收起侧边栏,collapseSidebarTooltip
DesktopSidebar,244,展开侧边栏工具提示,展开侧边栏,expandSidebarTooltip
DesktopSidebar,282,选择投资组合对话框标题,选择投资组合,selectPortfolioDialogTitle
DesktopSidebar,295,关闭按钮文本,关闭,closeButton
AddPortfolioDialog,88,编辑投资组合标题,编辑投资组合,editPortfolioTitle
AddPortfolioDialog,88,添加投资组合标题,添加新的投资组合,addNewPortfolioTitle
AddPortfolioDialog,111,基本信息分组标题,基本信息,basicInfoSectionTitle
AddPortfolioDialog,124,组合名称输入框标签,组合名称,portfolioNameLabel
AddPortfolioDialog,125,组合名称输入框提示,请输入组合名称,portfolioNameHint
AddPortfolioDialog,139,货币类型输入框标签,货币类型,currencyTypeLabel
AddPortfolioDialog,185,投资策略分组标题,投资策略,investmentStrategySectionTitle
AddPortfolioDialog,198,投资类型输入框标签,投资类型,investmentTypeLabel
AddPortfolioDialog,233,交易方向输入框标签,交易方向,tradingDirectionLabel
AddPortfolioDialog,295,手续费设置分组标题,手续费设置,feeSettingsSectionTitle
AddPortfolioDialog,304,手续费设置工具提示,设置手续费模式可自动计算交易成本,feeSettingsTooltip
AddPortfolioDialog,321,手续费模式输入框标签,手续费模式,feeModeLabel
AddPortfolioDialog,336,不记录手续费选项,不记录手续费,noFeeRecordOption
AddPortfolioDialog,360,管理交易费率链接文本,管理交易费率...,manageTradingRatesLink
AddPortfolioDialog,392,已选择费率模式描述,已选择 ${controller.selectedFeeMode.value!.name} 费率模式,selectedFeeModeDescription
AddPortfolioDialog,412,取消按钮文本,取消,cancelButton
AddPortfolioDialog,422,保存更改按钮文本,保存更改,saveChangesButton
AddPortfolioDialog,422,创建投资组合按钮文本,创建投资组合,createPortfolioButton
EmptyPortfolioState,94,创建成功提示标题,提示,successHintTitle
EmptyPortfolioState,94,投资组合创建成功消息,投资组合创建成功,portfolioCreatedSuccessMessage
EmptyPortfolioState,104,创建失败错误标题,错误,errorTitle
EmptyPortfolioState,105,投资组合创建失败消息,创建投资组合失败,portfolioCreationFailedMessage
EmptyPortfolioState,116,创建投资组合按钮文本,创建投资组合,createPortfolioButton
FeeModeSelectorDialog,43,管理费率对话框标题,管理并选择交易费率,manageFeeRatesDialogTitle
FeeModeSelectorDialog,90,取消按钮文本,取消,cancelButton
FeeModeSelectorDialog,99,选择费率模式按钮文本,选择此费率模式,selectThisFeeModeButton
MarqueeWidget,95,默认滚动内容,滚动内容,defaultScrollContent
DynamicMarqueeWidget,55,欢迎消息1,欢迎使用 TradeFlex！,welcomeMessage1
DynamicMarqueeWidget,55,欢迎消息2,开始记录您的交易之旅,welcomeMessage2
