文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
EmptyPortfolioScreen,21,页面标题,欢迎使用,welcomePageTitle
EmptyPortfolioController,46,交易页面空状态标题,欢迎使用交易日记,welcomeToTradingJournalTitle
EmptyPortfolioController,47,交易页面空状态描述,您需要创建一个投资组合来开始记录交易。\n投资组合可以帮助您分类管理不同类型的交易记录。,tradingPageEmptyDescription
EmptyPortfolioController,48,交易页面创建按钮文本,创建投资组合,createPortfolioButton
EmptyPortfolioController,52,持仓页面空状态标题,还没有持仓数据,noPositionDataTitle
EmptyPortfolioController,53,持仓页面空状态描述,您需要创建一个投资组合并添加交易记录，\n系统将自动为您生成持仓数据。,positionPageEmptyDescription
EmptyPortfolioController,54,持仓页面创建按钮文本,立即创建投资组合,createPortfolioImmediatelyButton
EmptyPortfolioController,58,历史页面空状态标题,还没有历史记录,noHistoryRecordsTitle
EmptyPortfolioController,59,历史页面空状态描述,您需要创建一个投资组合并添加交易记录，\n系统将自动为您记录历史交易数据。,historyPageEmptyDescription
EmptyPortfolioController,60,历史页面创建按钮文本,开始您的投资旅程,startInvestmentJourneyButton
EmptyPortfolioController,64,统计页面空状态标题,还没有统计数据,noStatisticsDataTitle
EmptyPortfolioController,65,统计页面空状态描述,您需要创建一个投资组合并添加交易记录，\n系统将自动为您生成统计数据。,statisticsPageEmptyDescription
EmptyPortfolioController,66,统计页面创建按钮文本,创建您的第一个投资组合,createFirstPortfolioButton
EmptyPortfolioController,70,资金页面空状态标题,还没有提现和存款数据,noWithdrawDepositDataTitle
EmptyPortfolioController,71,资金页面空状态描述,您需要创建一个投资组合并添加交易记录，\n系统将自动为您记录提现和存款数据。,withdrawDepositPageEmptyDescription
EmptyPortfolioController,72,资金页面创建按钮文本,开始您的投资旅程,startInvestmentJourneyButton
EmptyPortfolioController,116,创建成功提示标题,成功,successTitle
EmptyPortfolioController,116,投资组合创建成功消息,投资组合创建成功,portfolioCreatedSuccessMessage
EmptyPortfolioController,122,创建失败错误标题,错误,errorTitle
EmptyPortfolioController,122,投资组合创建失败消息,创建投资组合失败,portfolioCreationFailedMessage
