文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobileSettingsScreen,20,设置页面标题,设置,settingsPageTitle
MobileSettingsScreen,116,Pro版本功能描述,解锁高级功能，提升交易体验,unlockAdvancedFeaturesDescription
MobileSettingsScreen,132,升级按钮文本,升级,upgradeButton
MobileSettingsScreen,169,账户管理选项,账户管理,accountManagementOption
MobileSettingsScreen,170,账户管理描述,登录状态、个人信息、会员计划,accountManagementDescription
MobileSettingsScreen,171,投资组合选项,投资组合,portfolioOption
MobileSettingsScreen,172,投资组合描述,投资组合管理、默认设置,portfolioDescription
MobileSettingsScreen,173,手续费模式选项,手续费模式,feeModeOption
MobileSettingsScreen,174,手续费模式描述,交易费用设置、佣金计算,feeModeDescription
MobileSettingsScreen,175,标签管理选项,标签管理,tagManagementOption
MobileSettingsScreen,176,标签管理描述,自定义标签、分类管理,tagManagementDescription
MobileSettingsScreen,177,成就系统选项,成就系统,achievementSystemOption
MobileSettingsScreen,178,成就系统描述,成就徽章、进度跟踪,achievementSystemDescription
MobileSettingsScreen,179,界面设置选项,界面设置,uiSettingsOption
MobileSettingsScreen,180,界面设置描述,主题、颜色、语言设置,uiSettingsDescription
MobileSettingsScreen,181,数据管理选项,数据管理,dataManagementOption
MobileSettingsScreen,182,数据管理描述,备份恢复、数据导入导出,dataManagementDescription
MobileSettingsScreen,183,测试页面选项,测试页面,testPageOption
MobileSettingsScreen,184,测试页面描述,开发测试功能,testPageDescription
MobileSettingsScreen,185,关于选项,关于,aboutOption
MobileSettingsScreen,186,关于描述,版本信息、开发团队,aboutDescription
MobileSettingsScreen,188,默认设置选项,设置选项,defaultSettingOption
MobileSettingsScreen,223,功能即将推出提示,${title}功能即将推出,featureComingSoonFormat
MobileDataSettingsScreen,17,数据管理页面标题,数据管理,dataManagementPageTitle
MobileDataSettingsScreen,39,数据操作分组标题,数据操作,dataOperationsSectionTitle
MobileDataSettingsScreen,49,数据备份操作标题,数据备份,dataBackupActionTitle
MobileDataSettingsScreen,50,数据备份操作描述,将您的交易数据备份到安全位置,dataBackupActionDescription
MobileDataSettingsScreen,74,备份历史分组标题,备份历史,backupHistorySectionTitle
MobileDataSettingsScreen,78,刷新按钮文本,刷新,refreshButton
MobileDataSettingsScreen,114,查看全部备份按钮格式,查看全部 ${controller.backupList.length} 个备份,viewAllBackupsButtonFormat
MobileDataSettingsScreen,270,从外部文件恢复操作标题,从外部文件恢复,restoreFromExternalFileActionTitle
MobileDataSettingsScreen,278,从外部文件恢复操作描述,从您选择的备份文件中恢复数据,restoreFromExternalFileActionDescription
MobileDataSettingsScreen,343,导出备份文件操作标题,导出备份文件,exportBackupFileActionTitle
MobileDataSettingsScreen,351,导出备份文件操作描述,将数据库备份文件保存到您选择的位置,exportBackupFileActionDescription
MobileDataSettingsScreen,404,暂无备份文件提示,暂无备份文件,noBackupFilesMessage
MobileDataSettingsScreen,416,创建备份提示,点击上方"数据备份"按钮创建第一个备份\n定期备份可以保护您的交易数据安全,createBackupHint
MobileDataSettingsScreen,479,恢复按钮文本,恢复,restoreButton
MobileDataSettingsScreen,489,删除按钮文本,删除,deleteButton
MobileDataSettingsScreen,542,所有备份文件标题,所有备份文件,allBackupFilesTitle
MobileDataSettingsScreen,573,备份详情格式,创建时间: ${backup.formattedCreatedAt}\n文件大小: ${backup.formattedFileSize},backupDetailsFormat
MobileDataSettingsScreen,585,恢复按钮文本,恢复,restoreButton
MobileDataSettingsScreen,595,删除按钮文本,删除,deleteButton
MobileUISettingsScreen,21,界面设置页面标题,界面设置,uiSettingsPageTitle
MobileUISettingsScreen,29,恢复默认设置提示,恢复默认设置,resetToDefaultTooltip
MobileUISettingsScreen,58,外观设置分组标题,外观设置,appearanceSettingsSectionTitle
MobileUISettingsScreen,93,交易颜色分组标题,交易颜色,tradingColorsSectionTitle
MobileUISettingsScreen,102,盈利颜色设置标题,盈利颜色,profitColorSettingTitle
MobileUISettingsScreen,106,盈利颜色选择器标题,盈利颜色,profitColorPickerTitle
MobileUISettingsScreen,115,亏损颜色设置标题,亏损颜色,lossColorSettingTitle
MobileUISettingsScreen,119,亏损颜色选择器标题,亏损颜色,lossColorPickerTitle
MobileUISettingsScreen,127,兑换颜色设置标题,兑换颜色,exchangeColorSettingTitle
MobileUISettingsScreen,131,兑换颜色选择器标题,兑换颜色,exchangeColorPickerTitle
MobileUISettingsScreen,139,股息颜色设置标题,股息颜色,dividendColorSettingTitle
MobileUISettingsScreen,143,股息颜色选择器标题,股息颜色,dividendColorPickerTitle
MobileUISettingsScreen,195,恢复默认设置按钮文本,恢复默认设置,resetToDefaultButtonText
MobileLanguageSettingCard,56,语言设置标题,语言,languageSettingTitle
MobileLanguageSettingCard,118,选择语言对话框标题,选择语言,selectLanguageDialogTitle
MobileLanguageSettingCard,181,确认更改语言对话框标题,确认更改语言,confirmLanguageChangeDialogTitle
MobileLanguageSettingCard,185,更改语言确认内容,确定要将语言更改为 "$language" 吗？\n\n更改后需要重新启动应用才能完全生效。,languageChangeConfirmationContent
MobileLanguageSettingCard,192,取消按钮文本,取消,cancelButton
MobileLanguageSettingCard,202,确定按钮文本,确定,confirmButton
MobileThemeSelectorCard,25,天空蓝主题名称,天空蓝,skyBlueThemeName
MobileThemeSelectorCard,30,浆果粉主题名称,浆果粉,berryPinkThemeName
MobileThemeSelectorCard,35,紫罗兰主题名称,紫罗兰,violetThemeName
MobileThemeSelectorCard,40,深紫色主题名称,深紫色,deepPurpleThemeName
MobileThemeSelectorCard,45,靛青蓝主题名称,靛青蓝,indigoBlueThemeName
MobileThemeSelectorCard,50,青色主题名称,青色,cyanThemeName
MobileThemeSelectorCard,55,青绿色主题名称,青绿色,tealThemeName
MobileThemeSelectorCard,60,森林绿主题名称,森林绿,forestGreenThemeName
MobileThemeSelectorCard,65,嫩绿色主题名称,嫩绿色,lightGreenThemeName
MobileThemeSelectorCard,70,柠檬绿主题名称,柠檬绿,limeGreenThemeName
MobileThemeSelectorCard,75,金黄色主题名称,金黄色,amberThemeName
MobileThemeSelectorCard,80,活力橙主题名称,活力橙,vibrantOrangeThemeName
MobileThemeSelectorCard,106,自定义主题名称,自定义主题,customThemeName
MobileThemeSelectorCard,135,选择主题标题,选择主题,selectThemeTitle
MobileThemeSelectorCard,220,选择主题标题,选择主题,selectThemeTitle
MobileTagSettingsScreen,20,标签管理页面标题,标签管理,tagManagementPageTitle
MobileTagSettingsScreen,28,排序方式提示,排序方式,sortMethodTooltip
MobileTagSettingsScreen,31,使用次数排序选项,使用次数,usageCountSortOption
MobileTagSettingsScreen,32,名称排序选项,名称,nameSortOption
MobileTagSettingsScreen,33,创建日期排序选项,创建日期,creationDateSortOption
MobileTagSettingsScreen,71,添加标签提示,添加标签,addTagTooltip
MobileCreateTagBottomSheet,87,标签名称输入标签,标签名称,tagNameInputLabel
MobileCreateTagBottomSheet,99,标签名称输入提示,请输入标签名称,tagNameInputHint
MobileCreateTagBottomSheet,105,标签名称必填验证,请输入标签名称,tagNameRequiredValidation
MobileCreateTagBottomSheet,108,标签名称长度验证,标签名称不能超过50个字符,tagNameLengthValidation
MobileCreateTagBottomSheet,116,标签名称帮助文本,标签名称应简洁明了，便于分类管理交易记录,tagNameHelpText
MobileCreateTagBottomSheet,132,取消按钮文本,取消,cancelButton
MobileCreateTagBottomSheet,148,创建按钮文本,创建,createButton
MobileEditTagBottomSheet,116,标签使用次数格式,已使用 ${widget.tag.usageCount} 次,tagUsageCountFormat
MobileEditTagBottomSheet,136,新标签名称输入标签,新标签名称,newTagNameInputLabel
MobileEditTagBottomSheet,148,新标签名称输入提示,请输入新的标签名称,newTagNameInputHint
MobileEditFeeModelBottomSheet,86,编辑手续费模式标题,编辑手续费模式,editFeeModelTitle
MobileEditFeeModelBottomSheet,107,模式名称输入标签,模式名称,modelNameInputLabel
