文件的类名,硬编码文字的行号,硬编码文字的说明,硬编码的文字,字符串常量建议（英文）
MobilePositionScreen,18,持仓页面标题,持仓,positionPageTitle
MobilePositionScreen,42,暂无投资组合提示,暂无投资组合,noPortfolioAvailable
MobilePositionScreen,51,请先创建投资组合提示,请先创建一个投资组合查看持仓信息,pleaseCreatePortfolioToViewPositions
MobilePositionScreen,93,显示已平仓开关标签,显示已平仓,showClosedPositionsLabel
MobilePositionScreen,114,持仓详情按钮提示,持仓详情,positionDetailsTooltip
MobilePositionScreen,124,等待冷却时间格式,等待${controller.cooldownRemainingSeconds}秒,waitCooldownSecondsFormat
MobilePositionScreen,136,获取最新价格按钮文本,获取最新价格,getLatestPriceButton
MobilePositionScreen,173,多头持仓选项卡标签,多头持仓,longPositionsTab
MobilePositionScreen,196,空头持仓选项卡标签,空头持仓,shortPositionsTab
EditMainPositionPage,30,编辑主持仓页面标题,编辑主持仓,editMainPositionPageTitle
EditMainPositionPage,46,保存按钮文本,保存,saveButton
EditMainPositionPage,98,主持仓信息卡片标题,主持仓信息,mainPositionInfoSectionTitle
EditMainPositionPage,113,主持仓名称输入标签,主持仓名称,mainPositionNameLabel
EditMainPositionPage,143,持仓统计卡片标题,持仓统计,positionStatsSectionTitle
EditMainPositionPage,160,持仓方向统计行,持仓方向,positionDirectionStatRow
EditMainPositionPage,160,多头方向文本,多头,longDirectionText
EditMainPositionPage,160,空头方向文本,空头,shortDirectionText
EditMainPositionPage,161,总持仓量统计行,总持仓量,totalHoldingQuantityStatRow
EditMainPositionPage,162,平均成本统计行,平均成本,averageCostStatRow
EditMainPositionPage,163,摊薄均价统计行,摊薄均价,dilutedAveragePriceStatRow
EditMainPositionPage,164,总盈亏统计行,总盈亏,totalProfitLossStatRow
EditMainPositionPage,165,总手续费统计行,总手续费,totalFeeStatRow
EditMainPositionPage,166,总股息统计行,总股息,totalDividendStatRow
EditSubPositionPage,33,编辑子持仓页面标题,编辑子持仓,editSubPositionPageTitle
EditSubPositionPage,49,保存按钮文本,保存,saveButton
EditSubPositionPage,111,主持仓信息卡片标题,主持仓信息,mainPositionInfoSectionTitle
EditSubPositionPage,126,主持仓名称输入标签,主持仓名称,mainPositionNameLabel
EditSubPositionPage,156,子持仓信息卡片标题,子持仓信息,subPositionInfoSectionTitle
EditSubPositionPage,171,子持仓名称输入标签,子持仓名称,subPositionNameLabel
EditSubPositionPage,199,子持仓统计卡片标题,子持仓统计,subPositionStatsSectionTitle
EditSubPositionPage,216,持仓量统计行,持仓量,holdingQuantityStatRow
EditSubPositionPage,217,平均成本统计行,平均成本,averageCostStatRow
EditSubPositionPage,218,摊薄均价统计行,摊薄均价,dilutedAveragePriceStatRow
EditSubPositionPage,219,盈亏统计行,盈亏,profitLossStatRow
EditSubPositionPage,220,手续费统计行,手续费,feeStatRow
EditSubPositionPage,221,股息统计行,股息,dividendStatRow
EditSubPositionPage,222,开仓日期统计行,开仓日期,openDateStatRow
EditSubPositionPage,224,平仓日期统计行,平仓日期,closeDateStatRow
EditSubPositionPage,225,状态统计行标签,状态,statusStatRowLabel
EditSubPositionPage,225,已平仓状态文本,已平仓,closedStatusText
EditSubPositionPage,225,持仓中状态文本,持仓中,holdingStatusText
EditSubPositionPage,254,合并子持仓卡片标题,合并子持仓,mergeSubPositionSectionTitle
EditSubPositionPage,266,合并目标选择说明,选择要将当前子持仓合并到的目标子持仓：,selectMergeTargetDescription
EditSubPositionPage,274,目标子持仓下拉框标签,目标子持仓,targetSubPositionLabel
EditSubPositionPage,284,子持仓选项格式,${value.subPositionSymbol} (持仓: ${value.holdCnt}, 成本: ${value.avgPrice}),subPositionOptionFormat
EditSubPositionPage,306,合并警告提示,注意: 合并后，当前子持仓的数据将被合并到目标子持仓，并且当前子持仓将被删除。此操作不可撤销。,mergeWarningMessage
EditSubPositionPage,327,合并中按钮文本,合并中...,mergingButtonText
EditSubPositionPage,327,合并子持仓按钮文本,合并子持仓,mergeSubPositionButtonText
MobileAssetBindingWidget,81,资产绑定卡片标题,资产绑定,assetBindingSectionTitle
MobileAssetBindingWidget,138,资产代码输入标签,资产代码,assetCodeInputLabel
MobileAssetBindingWidget,139,资产代码输入提示,例如：AAPL,assetCodeInputHint
MobileAssetBindingWidget,147,搜索按钮文本,搜索,searchButton
MobileAssetBindingWidget,279,绑定标签,绑定,bindLabel
MobileAssetBindingWidget,330,正在绑定资产进度文本,正在绑定资产...,bindingAssetProgressText
MobileAssetBindingWidget,360,已绑定资产标题,已绑定资产,boundAssetTitle
MobileAssetBindingWidget,369,解除绑定按钮文本,解除绑定,unbindButton
MobileAssetBindingWidget,376,代码信息行标签,代码,codeInfoRowLabel
MobileAssetBindingWidget,377,价格信息行标签,价格,priceInfoRowLabel
MobileAssetBindingWidget,378,涨跌信息行标签,涨跌,changeInfoRowLabel
MobileAssetBindingWidget,379,更新时间信息行标签,更新时间,updateTimeInfoRowLabel
MobileAssetBindingWidget,406,手动输入最新价格标签,手动输入最新价格,manualPriceInputLabel
MobileAssetBindingWidget,407,手动价格输入提示,例如：10.55,manualPriceInputHint
MobileAssetBindingWidget,427,更新按钮文本,更新,updateButton
MobilePositionCard,144,已平仓状态标签,已平仓,closedStatusLabel
MobilePositionCard,164,删除持仓按钮提示,删除持仓,deletePositionTooltip
MobilePositionCard,175,编辑持仓按钮提示,编辑持仓,editPositionTooltip
MobilePositionCard,195,持仓数量信息项标签,持仓数量,holdingQuantityInfoLabel
MobilePositionCard,202,均价信息项标签,均价,averagePriceInfoLabel
MobilePositionCard,209,摊薄均价信息项标签,摊薄均价,dilutedAveragePriceInfoLabel
MobilePositionCard,222,实现盈亏信息项标签,实现盈亏,realizedProfitLossInfoLabel
MobilePositionCard,229,浮动盈亏信息项标签,浮动盈亏,floatingProfitLossInfoLabel
MobilePositionCard,236,开仓日期信息项标签,开仓日期,openDateInfoLabel
MobilePositionCard,249,持仓天数信息项标签,持仓天数,holdingDaysInfoLabel
MobilePositionCard,250,持仓天数格式,${holdingDays}天,holdingDaysFormat
MobilePositionCard,256,股息信息项标签,股息,dividendInfoLabel
MobilePositionCard,263,手续费信息项标签,手续费,feeInfoLabel
MobilePositionDetailBottomSheet,96,当前没有活跃持仓提示,当前没有活跃的持仓,noActivePositionsMessage
MobilePositionDetailBottomSheet,122,持仓详情标题,持仓详情,positionDetailsTitle
MobilePositionDetailBottomSheet,170,总成本汇总卡片标题,总成本,totalCostSummaryTitle
MobilePositionDetailBottomSheet,180,总市值汇总卡片标题,总市值,totalMarketValueSummaryTitle
MobilePositionDetailBottomSheet,190,总利润汇总卡片标题,总利润,totalProfitSummaryTitle
MobilePositionDetailBottomSheet,468,持仓详情列表标题,持仓详情,positionDetailsListTitle
MobilePositionDetailBottomSheet,526,总成本列表标题,总成本,totalCostListTitle
MobilePositionDetailBottomSheet,550,总市值列表标题,总市值,totalMarketValueListTitle
MobilePositionDetailBottomSheet,574,总利润列表标题,总利润,totalProfitListTitle
MobileSubPositionCard,123,已平仓状态标签,已平仓,closedStatusLabel
MobileSubPositionCard,143,删除子持仓按钮提示,删除子持仓,deleteSubPositionTooltip
MobileSubPositionCard,154,编辑子持仓按钮提示,编辑子持仓,editSubPositionTooltip
MobileSubPositionCard,168,数量信息项标签,数量,quantityInfoLabel
MobileSubPositionCard,175,均价信息项标签,均价,averagePriceInfoLabel
MobileSubPositionCard,182,摊薄均价信息项标签,摊薄均价,dilutedAveragePriceInfoLabel
MobileSubPositionCard,195,实现盈亏信息项标签,实现盈亏,realizedProfitLossInfoLabel
MobileSubPositionCard,202,浮动盈亏信息项标签,浮动盈亏,floatingProfitLossInfoLabel
MobileSubPositionCard,209,开仓日期信息项标签,开仓日期,openDateInfoLabel
MobileSubPositionCard,222,持仓天数信息项标签,持仓天数,holdingDaysInfoLabel
MobileSubPositionCard,223,持仓天数格式,${holdingDays}天,holdingDaysFormat
MobileSubPositionCard,229,股息信息项标签,股息,dividendInfoLabel
MobileSubPositionCard,236,手续费信息项标签,手续费,feeInfoLabel
MobilePositionList,54,暂无多头持仓提示,暂无多头持仓,noLongPositionsMessage
MobilePositionList,54,暂无空头持仓提示,暂无空头持仓,noShortPositionsMessage
MobilePositionList,140,加载子持仓失败错误,加载子持仓失败: ${snapshot.error},loadSubPositionsFailedErrorFormat
MobilePositionList,152,暂无子持仓提示,暂无子持仓,noSubPositionsMessage
MobilePositionList,172,子持仓列表标题格式,子持仓 (${subPositions.length}),subPositionsListTitleFormat
MobilePositionList,246,无法获取持仓ID错误,无法获取持仓ID,cannotGetPositionIdError
MobilePositionList,299,无法获取持仓ID错误,无法获取持仓ID,cannotGetPositionIdError
